aCompCor00,aCompCor01,aCompCor02,aCompCor03,aCompCor04,aCompCor05,X,Y,Z,RotX,RotY,RotZ,Xsq,Ysq,Zsq,RotXsq,RotYsq,RotZsq,X_t-1,Y_t-1,Z_t-1,RotX_t-1,RotY_t-1,RotZ_t-1,Xsq_t-1,Ysq_t-1,Zsq_t-1,RotXsq_t-1,RotYsq_t-1,RotZsq_t-1
0.0,0.0,0.0,0.0,0.0,0.0,-6.048709999999999e-10,0.0,2.44825e-10,0.0,7.19281e-05,0.0,3.658689266409999e-19,0.0,5.9939280625e-20,0.0,5.17365156961e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0105837728,-0.0712172615,0.027668963900000003,-0.0006502937,0.0617967333,-0.1634838347,0.014428899999999998,-3.1673900000000005e-06,5.004280000000001e-06,9.6194e-05,0.000129524,0.00011848400000000005,0.00020819315520999995,1.0032359412100003e-11,2.504281831840001e-11,9.253285635999999e-09,1.6776466576e-08,1.4038458256000012e-08,-6.048709999999999e-10,0.0,2.44825e-10,0.0,7.19281e-05,0.0,3.658689266409999e-19,0.0,5.9939280625e-20,0.0,5.17365156961e-09,0.0
-0.1076354918,-0.0069403577,0.0603296395,0.08512846689999999,-0.0687163703,0.0789394913,0.00457649,1.27412e-05,-1.2570399999999999e-05,-0.000410765,-0.0,0.0,2.0944260720099998e-05,1.6233817744e-10,1.5801495615999997e-10,1.68727885225e-07,0.0,0.0,0.014428899999999998,-3.1673900000000005e-06,5.004280000000001e-06,9.6194e-05,0.000129524,0.00011848400000000005,0.00020819315520999995,1.0032359412100003e-11,2.504281831840001e-11,9.253285635999999e-09,1.6776466576e-08,1.4038458256000012e-08
-0.0142797851,0.0963868282,0.1180246058,-0.1200125567,-0.076155036,0.0356574558,0.00800411,0.00881229,0.0187412,0.00011414500000000005,-0.0,0.0,6.40657768921e-05,7.76564550441e-05,0.00035123257744,1.3029081025000012e-08,0.0,0.0,0.00457649,1.27412e-05,-1.2570399999999999e-05,-0.000410765,-0.0,0.0,2.0944260720099998e-05,1.6233817744e-10,1.5801495615999997e-10,1.68727885225e-07,0.0,0.0
0.0593340689,0.083085638,0.0007571295,0.0373403833,-0.0610586794,-0.043326913,0.00493359,0.00044319300000000004,-1.2570399999999999e-05,-0.000410765,-0.0,0.0,2.4340310288099997e-05,1.9642003524900003e-07,1.5801495615999997e-10,1.68727885225e-07,0.0,0.0,0.00800411,0.00881229,0.0187412,0.00011414500000000005,-0.0,0.0,6.40657768921e-05,7.76564550441e-05,0.00035123257744,1.3029081025000012e-08,0.0,0.0
0.1038489784,-0.081009709,0.0631740667,-0.051045033200000006,-0.0503326355,-0.0076426143,0.0,0.00605451,0.022249500000000002,-0.00020042,-0.0,0.0,0.0,3.66570913401e-05,0.0004950402502500001,4.01681764e-08,0.0,0.0,0.00493359,0.00044319300000000004,-1.2570399999999999e-05,-0.000410765,-0.0,0.0,2.4340310288099997e-05,1.9642003524900003e-07,1.5801495615999997e-10,1.68727885225e-07,0.0,0.0
-0.1015766067,-0.08872265480000001,-0.0320958961,0.0689615034,-0.0150129051,0.0385344721,0.0277022,0.00560402,0.0047159,-0.000217979,0.00011718299999999999,0.000176724,0.00076741188484,3.1405040160400005e-05,2.2239712810000002e-05,4.7514844441000003e-08,1.3731855488999999e-08,3.1231372176e-08,0.0,0.00605451,0.022249500000000002,-0.00020042,-0.0,0.0,0.0,3.66570913401e-05,0.0004950402502500001,4.01681764e-08,0.0,0.0
-0.0849047411,0.0937559284,-0.0056613983,-0.0559140192,-0.0190469745,0.07749013910000001,0.0,0.000662497,0.011576000000000001,-0.000410765,-0.0,0.0,0.0,4.389022750089999e-07,0.00013400377600000004,1.68727885225e-07,0.0,0.0,0.0277022,0.00560402,0.0047159,-0.000217979,0.00011718299999999999,0.000176724,0.00076741188484,3.1405040160400005e-05,2.2239712810000002e-05,4.7514844441000003e-08,1.3731855488999999e-08,3.1231372176e-08
0.0667130837,0.0731042701,0.0102368177,-0.0623862631,0.1319359188,0.0522156652,0.0248273,0.0006952060000000001,0.0171577,0.000103595,0.000514708,0.0,0.00061639482529,4.833113824360001e-07,0.00029438666929000005,1.0731924025e-08,2.64924325264e-07,0.0,0.0,0.000662497,0.011576000000000001,-0.000410765,-0.0,0.0,0.0,4.389022750089999e-07,0.00013400377600000004,1.68727885225e-07,0.0,0.0
0.0521262951,0.0538780905,-0.1174108453,0.127757171,0.0038874902,0.0746435908,0.0104512,0.000662495,0.0160938,-0.000410765,0.000197191,0.0,0.00010922758144000002,4.3889962502500003e-07,0.00025901039843999996,1.68727885225e-07,3.888429048099999e-08,0.0,0.0248273,0.0006952060000000001,0.0171577,0.000103595,0.000514708,0.0,0.00061639482529,4.833113824360001e-07,0.00029438666929000005,1.0731924025e-08,2.64924325264e-07,0.0
0.106178861,-0.0936969159,0.0425809525,-0.0677507826,0.0505273946,0.0985034951,0.018829,-0.0036731000000000003,0.031155900000000004,7.737859999999999e-05,0.000332637,0.00013927600000000005,0.00035453124099999996,1.3491663610000002e-05,0.0009706901048100003,5.987447737959999e-09,1.10647373769e-07,1.9397804176000016e-08,0.0104512,0.000662495,0.0160938,-0.000410765,0.000197191,0.0,0.00010922758144000002,4.3889962502500003e-07,0.00025901039843999996,1.68727885225e-07,3.888429048099999e-08,0.0
-0.0318142356,-0.1051961246,-0.1188202862,0.06269938650000001,-0.008960855799999999,0.0232963142,0.0248324,-0.015073900000000001,1.18551e-05,-3.77725e-05,-0.0,0.000421439,0.00061664808976,0.00022722246121000003,1.4054339600999998e-10,1.4267617562499998e-09,0.0,1.77610830721e-07,0.018829,-0.0036731000000000003,0.031155900000000004,7.737859999999999e-05,0.000332637,0.00013927600000000005,0.00035453124099999996,1.3491663610000002e-05,0.0009706901048100003,5.987447737959999e-09,1.10647373769e-07,1.9397804176000016e-08
-0.0937739073,-0.0637162733,-0.0948400267,-0.06538483889999999,-0.0571596226,0.1497513293,0.0161303,-0.0143369,-1.1679100000000001e-05,-0.000410765,0.000136754,0.00035487199999999995,0.00026018657809,0.00020554670161,1.3640137681000003e-10,1.68727885225e-07,1.8701656515999998e-08,1.2593413638399996e-07,0.0248324,-0.015073900000000001,1.18551e-05,-3.77725e-05,-0.0,0.000421439,0.00061664808976,0.00022722246121000003,1.4054339600999998e-10,1.4267617562499998e-09,0.0,1.77610830721e-07
-0.0989921931,0.0244534221,-0.0481267187,-0.145942682,0.0505827573,0.0041356151,0.0248208,-0.00644816,-3.11461e-06,7.48392e-05,-0.0,0.000485919,0.00061607211264,4.15787673856e-05,9.7007954521e-12,5.600905856640001e-09,0.0,2.3611727456100002e-07,0.0161303,-0.0143369,-1.1679100000000001e-05,-0.000410765,0.000136754,0.00035487199999999995,0.00026018657809,0.00020554670161,1.3640137681000003e-10,1.68727885225e-07,1.8701656515999998e-08,1.2593413638399996e-07
-0.0114289977,0.1101617534,-0.1470310008,0.06040145280000001,0.0599652621,-0.0036758128,0.0248192,-0.010835,4.17899e-06,-0.000216094,0.000106431,0.000485919,0.0006159926886399999,0.00011739722499999998,1.74639574201e-11,4.669661683600001e-08,1.1327557761e-08,2.3611727456100002e-07,0.0248208,-0.00644816,-3.11461e-06,7.48392e-05,-0.0,0.000485919,0.00061607211264,4.15787673856e-05,9.7007954521e-12,5.600905856640001e-09,0.0,2.3611727456100002e-07
0.129609076,-0.0575920809,-0.0325205065,-0.1384323456,0.0377483441,0.0365622366,0.014828899999999999,-0.0208319,0.00375274,-0.000410765,0.000180772,0.000265844,0.00021989627520999997,0.00043396805761,1.4083057507600001e-05,1.68727885225e-07,3.2678515984e-08,7.0673032336e-08,0.0248192,-0.010835,4.17899e-06,-0.000216094,0.000106431,0.000485919,0.0006159926886399999,0.00011739722499999998,1.74639574201e-11,4.669661683600001e-08,1.1327557761e-08,2.3611727456100002e-07
0.0438286828,-0.030252945,-0.1219023372,0.0284038254,0.0094406142,-0.0057370559,0.0489049,-0.020778900000000003,0.00497822,0.00101326,1.0587899999999999e-22,0.000855815,0.00239168924401,0.0004317626852100001,2.4782674368400004e-05,1.0266958275999999e-06,1.1210362640999998e-44,7.32419314225e-07,0.014828899999999999,-0.0208319,0.00375274,-0.000410765,0.000180772,0.000265844,0.00021989627520999997,0.00043396805761,1.4083057507600001e-05,1.68727885225e-07,3.2678515984e-08,7.0673032336e-08
0.06174388190000001,-0.0803401139,-0.1279256975,-0.0275245173,-0.0113077742,0.0836376356,0.0269993,-0.020890400000000003,0.00675306,-0.00042045900000000003,-0.00023196799999999999,0.000245713,0.00072896220049,0.00043640881216000017,4.5603819363599996e-05,1.7678577068100003e-07,5.380915302399999e-08,6.0374878369e-08,0.0489049,-0.020778900000000003,0.00497822,0.00101326,1.0587899999999999e-22,0.000855815,0.00239168924401,0.0004317626852100001,2.4782674368400004e-05,1.0266958275999999e-06,1.1210362640999998e-44,7.32419314225e-07
-0.057102373,-0.1538225098,-0.1029385478,-0.0601771756,0.0613932472,-0.0711663593,0.0444736,-0.00195187,0.00736401,7.615189999999999e-06,-0.0,0.00045212,0.00197790109696,3.8097964969000004e-06,5.4228643280099995e-05,5.7991118736099985e-11,0.0,2.044124944e-07,0.0269993,-0.020890400000000003,0.00675306,-0.00042045900000000003,-0.00023196799999999999,0.000245713,0.00072896220049,0.00043640881216000017,4.5603819363599996e-05,1.7678577068100003e-07,5.380915302399999e-08,6.0374878369e-08
