WhiteMatter	GlobalSignal	stdDVARS	non-stdDVARS	vx-wisestdDVARS	FramewiseDisplacement	tCompCor00	tCompCor01	tCompCor02	tCompCor03	tCompCor04	tCompCor05	aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	aCompCor05	Cosine00	Cosine01	X	Y	Z	RotX	RotY	RotZ
2962.582763671875	5812.60888671875	n/a	n/a	n/a	n/a	-0.0508998804	-0.155961805	0.004832416	-0.058778323	0.0088994292	-0.114786455	0.031217257400000004	0.1544112003	0.0076744064	-0.2018250996	0.1557346386	-0.0955592525	0.1174371526	0.11741647960000001	0.037655	0.0282336	-9.57121e-06	0.0007450529999999998	-0.0	0.0
-677.041748046875	308.9859619140625	1.22753417	15.7184639	1.08044875	0.07757288378999999	-0.0985863724	0.11128807199999999	-0.07380539059999999	-0.0706009007	0.0156545162	-0.0562705392	-0.1610315078	0.0021816393	-0.0795540906	-0.028443196299999998	0.057298363600000006	-0.1354694222	0.11738202710000001	0.1171960424	0.0189212	0.0282691	-0.0193482	-4.42461e-05	-0.0	0.0
-2054.915771484375	-2080.511962890625	1.37811017	17.64657593	0.97592306	0.088943855	0.11761470880000001	0.037890629599999996	-0.08660916029999999	-0.0126492575	-0.0691914529	-0.0296669971	0.0329275627	-0.11348828550000001	-0.1029886136	-0.0699251365	0.0837033672	-0.0644958384	0.1172718021	0.11675558189999999	0.018918	0.0282861	0.0193329	0.000798451	0.000162154	0.0
-4942.2900390625	-3024.885009765625	1.43267083	18.34522057	0.9554022	0.08167163499999999	0.0905325498	-0.029861804300000003	0.03153633	-0.1428390474	0.19304467260000002	-0.018223853300000002	0.0895969385	-0.0524309226	-0.0171657511	0.1716886698	0.0240066469	-0.0163456806	0.1171065292	0.116095925	0.0189262	0.028272	-0.0163039	8.20839e-05	8.35134e-05	-0.000125243
-2499.039794921875	-430.1331787109375	1.24004686	15.87868786	0.97868317	0.05731599499999999	0.022539322799999997	-0.1373606716	-0.16592522710000002	0.0963357271	0.0329987073	0.042962713099999994	0.12671219960000002	0.0835234532	-0.1581793352	0.0458557288	-0.0905884743	0.0593578934	0.11688628599999999	0.1152183101	0.0189394	0.0282547	0.00356796	0.000325261	0.000463366	0.0
736.960693359375	1887.6187744140625	1.09247208	13.989007	0.97540975	0.0482083	-0.0602728125	0.0172363639	-0.0370316523	0.08598258789999999	0.1409926124	-0.052127576200000005	-0.0649307658	0.0456073632	-0.0661407787	0.0184943115	-0.1172389283	0.15817418	0.116611176	0.1141243849	0.0189212	0.0120487	-0.00480349	0.000316374	-0.0	0.0
469.836669921875	4631.74609375	1.17600644	15.05865574	0.97667438	0.030590199999999994	0.0508221445	0.0541303275	0.022835056	0.0775690899	0.0963590328	-0.1586113684	-0.0120643248	-0.0899211233	0.0289228757	-0.0697562838	-0.123492216	0.0124645913	0.1162813282	0.11281620310000001	0.0189208	0.0120571	-0.00114103	-4.42461e-05	0.000107305	-7.04537e-05
1840.337158203125	1139.247802734375	1.21844494	15.60207748	0.99010539	0.05820583	0.0466159922	-0.0720580032	0.0773803653	-0.0354288595	-0.1546696087	-0.1625932195	0.062087787699999994	0.0300734831	0.057777020199999994	-0.059480299800000004	0.08452110210000001	-0.0148059929	0.1158968974	0.11129622060000001	0.0189235	0.0258073	0.00153362	0.000533949	-8.63153e-24	7.961179999999998e-05
-205.287353515625	-361.125244140625	1.47603714	18.90052223	0.9367066	0.08246473000000001	-0.136760354	-0.041445481400000005	-0.0269368952	-0.0298194583	-0.0012622396	-0.06614338410000001	-0.043946259	0.1172148294	-0.014867431	0.09592902710000001	-0.0278974002	-0.10239797099999999	0.1154580643	0.10956729119999999	0.00939873	0.0120602	-0.0174662	-0.0001903	-0.0	0.0
-502.161865234375	-3171.74853515625	1.25415218	16.05930519	0.94762486	0.07305032999999998	0.021853954900000003	0.082872118	-0.085138911	0.0410939293	0.034677915	-0.1213097038	-0.0468969477	-0.0638098175	-0.13402322279999998	-0.023427131299999997	0.024893525299999997	0.10566383039999999	0.11496503460000002	0.1076326606	0.0189212	0.028658	0.00153881	0.000368201	-0.0	0.0
